init
0 1 2 3 
0.44,0.76,0.97,0.95,
0.54,0.76,0.98,0.95,
0.53,0.75,0.97,0.95,
0.52,0.76,0.98,0.96,
0.5,0.75,0.98,0.97,
0.55,0.75,0.97,0.95,
0.55,0.75,0.96,0.95,
0.53,0.75,0.98,0.96,
0.52,0.76,0.97,0.97,
0.53,0.75,0.98,0.96,
0.54,0.76,0.97,0.95,
0.52,0.75,0.98,0.96,
0.48,0.75,0.98,0.96,
0.47,0.76,0.96,0.95,
0.47,0.76,0.97,0.97,
0.54,0.76,0.98,0.97,
0.47,0.75,0.97,0.96,
0.43,0.76,0.97,0.94,
0.43,0.75,0.97,0.94,
0.48,0.76,0.98,0.95,
0.47,0.76,0.97,0.95,
0.47,0.76,0.97,0.96,
0.5,0.76,0.97,0.94,
0.5,0.76,0.97,0.95,
0.5,0.76,0.96,0.97,
0.5,0.76,0.98,0.96,
0.5,0.76,0.98,0.95,
0.5,0.75,0.97,0.97,
0.49,0.75,0.98,0.96,
0.51,0.76,0.98,0.95,
0.48,0.76,0.97,0.95,
98.7
