init
0.98,1,0.97,0.47,
0.98,1.01,0.97,0.57,
0.98,1,0.96,0.55,
0.99,1.01,0.96,0.54,
0.99,1,0.96,0.52,
0.98,1,0.96,0.58,
0.98,0.99,0.95,0.57,
0.99,1.01,0.95,0.56,
0.99,1,0.97,0.54,
0.99,1,0.96,0.55,
0.98,1,0.97,0.57,
0.99,1,0.96,0.55,
0.99,1,0.96,0.5,
0.98,0.99,0.97,0.49,
0.99,1,0.97,0.5,
1,1.01,0.96,0.57,
0.99,1,0.96,0.49,
0.96,1,0.97,0.46,
0.97,1,0.96,0.45,
0.98,1.01,0.96,0.51,
0.98,1,0.97,0.5,
0.99,1,0.97,0.5,
0.97,1,0.97,0.54,
0.98,1,0.97,0.53,
0.99,0.99,0.98,0.54,
0.98,1.01,0.98,0.53,
0.98,1.01,0.96,0.53,
0.99,1,0.96,0.53,
0.99,1,0.96,0.53,
0.98,1,0.97,0.54,
0.98,1,0.97,0.51,
107.76
