init
0 1 2 3 
0.48,0.76,0.97,0.95,
0.59,0.76,0.98,0.95,
0.57,0.75,0.97,0.95,
0.56,0.76,0.98,0.96,
0.54,0.75,0.98,0.97,
0.6,0.75,0.97,0.95,
0.59,0.75,0.96,0.95,
0.58,0.75,0.98,0.96,
0.56,0.76,0.97,0.97,
0.56,0.75,0.98,0.96,
0.58,0.76,0.97,0.95,
0.56,0.75,0.98,0.96,
0.52,0.75,0.98,0.96,
0.51,0.76,0.96,0.95,
0.51,0.76,0.97,0.97,
0.58,0.76,0.98,0.97,
0.5,0.75,0.97,0.96,
0.47,0.76,0.97,0.94,
0.47,0.75,0.97,0.94,
0.53,0.76,0.98,0.95,
0.52,0.76,0.97,0.95,
0.52,0.76,0.97,0.96,
0.55,0.76,0.97,0.94,
0.55,0.76,0.97,0.95,
0.55,0.76,0.96,0.97,
0.55,0.76,0.98,0.96,
0.55,0.76,0.98,0.95,
0.55,0.75,0.97,0.97,
0.54,0.75,0.98,0.96,
0.56,0.76,0.98,0.95,
0.53,0.76,0.97,0.95,
100.07
